낱말,빈도수
시작,9
오는,9
진달래,9
불,9
직접,9
시를,9
물고기,9
옆,9
않은,9
만,9
주변,9
사라져,9
지,9
자,9
머리,9
치는,9
해요,9
부족하다면,9
알려,9
쓴이가,9
무,9
지진,9
각,9
써야,9
먹이,9
번호,9
고쳐,9
언어,9
밥,9
반말,9
눈물,9
걱정,9
댁,9
받은,9
등,9
가게,9
우산,9
짧게,9
장소,9
요리,9
표시,9
글자,9
깨끗한,9
하인,9
바느질,9
깨끗이,9
일회용,9
생략,9
펜,9
있어서,8
가며,8
먹으면,8
여기,8
추려,8
아니라,8
나서,8
싶어,8
수가,8
고르고,8
거리,8
인,8
그래,8
구,8
사랑,8
봄,8
피어,8
주먹,8
있지,8
남는,8
낭송,8
갔다,8
골목,8
살,8
찾고,8
먹는,8
정신,8
발견,8
달라,8
야,8
바,8
헤엄,8
않았어요,8
도둑,8
들었나요,8
아는지,8
재미있는,8
무서워,8
였어요,8
삐익,8
생,8
아빠,8
입는,8
나쁜,8
길,8
약과,8
반죽,8
만들,8
바르게,8
장,8
애벌레,8
전화,8
맞게,8
아버지,8
빈칸,8
팔,8
하던,8
연습,8
새로,8
하려고,8
했던,8
대한,8
필요한,8
작은,8
새로운,8
될,8
생일,8
찾을,8
판서,8
일곱,8
안전,8
사고,8
발생,8
아름다운,8
예상,7
언니,7
추천,7
번갈아,7
토끼는,7
나와,7
주인공,7
인상,7
둠,7
나눌,7
보면,7
기후,7
위해,7
바로,7
축,7
이용,7
느끼며,7
작품,7
들,7
살려,7
이익,7
본다,7
소나기,7
콩,7
듣는,7
건,7
있었어,7
맛,7
마치,7
드는,7
않아,7
들렸어,7
점점,7
도깨비,7
넌,7
되면,7
이빨,7
보이지,7
있었던,7
가는,7
냈어요,7
아니,7
정확하게,7
려고,7
한결,7
박물관,7
대신,7
상태,7
뛰,7
삶,7
했,7
요즘,7
찹쌀,7
가루,7
있,7
축구,7
스스로,7
특징,7
자연,7
하자,7
하면서,7
특별한,7
했을,7
저녁,7
고개,7
세,7
없이,7
명,7
어제,7
정원,7
가야,7
악기,7
알아보세요,7
반드시,7
컵,7
왜냐하면,7
우리말,7
밑,7
만들기,7
먹는다,7
오성과,7
담,7
동무,7
갉아,7
열매,7
줄기,7
은지,7
오후,6
용왕,6
나가,6
없고,6
기준,6
몇,6
고를,6
있을까,6
호랑이,6
과학,6
좋을지,6
파란,6
재미있게,6
비교,6
기도,6
면,6
있도록,6
종이,6
발표,6
행복한,6
겨울,6
튀는,6
벌써,6
심장,6
바삭,6
던져,6
남은,6
화가,6
으악,6
않아요,6
놀러,6
자꾸,6
까,6
강아지풀,6
요요,6
히,6
테,6
그림자,6
사,6
듯,6
형,6
진짜,6
좋은지,6
저절로,6
땅,6
갔습니다,6
구실,6
늘,6
한과,6
먹었습니다,6
먹어,6
꿀,6
글씨,6
붙여,6
됩니다,6
쓰면,6
부모님,6
써서,6
드릴,6
간다,6
정도,6
고운,6
말로,6
하는지,6
훈민이,6
어른,6
하려면,6
높,6
영화,6
했는데,6
계산,6
이상한,6
담아,6
주세요,6
태권도,6
사범,6
학,6
인사,6
처음,6
하녀,6
책상,6
이번,6
두고,6
동안,6
바탕,6
케이크,6
가슴,6
예쁘게,6
지수,6
고민,6
전시관,6
파,6
겹,6
타악기,6
전달,6
목적,6
쓰임,6
모든,6
생명,6
준비물,6
예전,6
점수,6
잎,6
줄임,6
진주,6
먹,6
읽으며,6
화전,6
안전하게,6
오성,6
너머,6
오성은,6
바늘,6
자주,6
먹보,6
마리,6
탈,6
전기,6
닳게,6
앞뒤,6
계획,6
재닛,6
였습니다,6
영국,6
립,6
부착,6
미야는,6
털,6
빗길,6
놔두세요,6
쑥덕쑥덕,6
사람과,5
재미있었어,5
관,5
고르는,5
알아보기,5
맞는,5
찾아보기,5
학년,5
검은,5
놀라,5
나누는,5
학급,5
읽어요,5
아래,5
노란,5
대회,5
여름,5
공간,5
된다,5
신발,5
않도록,5
갔어,5
누리,5
했을까요,5
폭,5
느낄,5
생생하게,5
어울리는,5
파도,5
색,5
탕탕,5
짭,5
훌쩍,5
먹기,5
먹다,5
없었어,5
운,5
별로,5
같았어,5
이런,5
숨,5
타고,5
뻐드렁니,5
척,5
다시는,5
뭐라고,5
옹기,5
쥐,5
구해,5
웃으며,5
고마워,5
물어볼,5
꼬리,5
샘물,5
같아요,5
나뭇잎,5
삐,5
삑,5
피리,5
맞아,5
직업,5
지방,5
짜임,5
수술,5
있다고,5
돼요,5
씁니다,5
밑줄,5
들었어,5
조,5
고구마,5
싹,5
얻을,5
갖추어,5
오래,5
보호색,5
천,5
개구리,5
환경,5
있으면,5
준말,5
다쳐서,5
지켜야,5
가자,5
제대로,5
가족,5
합,5
아들,5
하는데,5
갑자기,5
아니야,5
쌓지,5
받고,5
주어,5
카드,5
달리기,5
않았다,5
자랑,5
형식,5
민건,5
어린이,5
않으려고,5
한비,5
